Sample ID,Sample Date,Beach Name,Sample Location,Enterococci Results,Units or Notes
070611KB12,2011-07-06,MORRIS YACHT AND BEACH CLUB,Right,8,MPN/100 ml
072213CP04,2013-07-22,MANHATTAN BEACH,Left,12,MPN/100 ml
052410GR03,2010-05-24,GERRITSEN/KIDDIE BEACH,Right,32,MPN/100 ml
080510KB01,2010-08-05,ORCHARD BEACH,Left,4,MPN/100 ml
072109KB05,2009-07-21,WOLFE'S POND PARK,Center,56,MPN/100 ml
042710KB08,2010-04-27,MORRIS YACHT AND BEACH CLUB,Center,24,MPN/100 ml
082906KB10,2006-08-29,BREEZY POINT - 219TH STREET,Center,32,MPN/100 ml
092215CP01,2015-09-22,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,4,MPN/100 ml
050707GR19,2007-05-07,SEAGATE BEACH - 42ND STREET,Right,8,MPN/100 ml
073112GR08,2012-07-31,AMERICAN TURNERS,Center,28,MPN/100 ml
042810GR03,2010-04-28,ROCKAWAY BEACH 126TH - 149TH,Center,4,MPN/100 ml
050216JL21,2016-05-03,DANISH AMERICAN BEACH CLUB,Right,880,MPN/100 ml
081715SG01,2015-08-17,CONEY ISLAND WEST 16TH - WEST 27TH,Left,12,MPN/100 ml
081710GR02,2010-08-17,GERRITSEN/KIDDIE BEACH,Center,520,MPN/100 ml
082712GR11,2012-08-27,AMERICAN TURNERS,Center,4,MPN/100 ml
052212GR03,2012-05-22,GERRITSEN/KIDDIE BEACH,Right,640,MPN/100 ml
071513CP02,2013-07-15,SI YMCA OF GREATER NEW YORK,Center,980,MPN/100 ml
072605LH14,2005-07-26,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Center,48,MPN/100 ml
070814CP10,2014-07-08,DANISH AMERICAN BEACH CLUB,Left,36,MPN/100 ml
071106JR02,2006-07-11,MANHATTAN BEACH,Center,60,MPN/100 ml
070605MR02,2005-07-06,CONEY ISLAND BR. 6TH - OCEAN PKWY,Center,12,MPN/100 ml
070506ZK07,2006-07-05,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Left,60,MPN/100 ml
042710GR12,2010-04-27,DANISH AMERICAN BEACH CLUB,Right,250,MPN/100 ml
080111GR17,2011-08-01,SEAGATE BEACH - 42ND STREET,Left,4,MPN/100 ml
060607IM24,2007-06-06,SCHUYLER HILL CIVIC ASSOCIATION,Right,8,MPN/100 ml
072913GR08,2013-07-29,KINGSBOROUGH COMMUNITY COLLEGE,Center,4,MPN/100 ml
050107IM26,2007-05-01,DOUGLASTON HOMEOWNERS ASSOCIATION,Center,28,MPN/100 ml
052212GR17,2012-05-22,SEAGATE BEACH - 42ND STREET,Left,36,MPN/100 ml
050913GR05,2013-05-09,BREEZY POINT - 219TH STREET,Center,4,MPN/100 ml
082713GR18,2013-08-27,SCHUYLER HILL CIVIC ASSOCIATION,Right,24,MPN/100 ml
082806BH01,2006-08-28,SI YMCA OF GREATER NEW YORK,Left,16,MPN/100 ml
062414SG12,2014-06-24,WEST FORDHAM STREET ASSOCIATION,Right,4,MPN/100 ml
051314CP17,2014-05-13,SCHUYLER HILL CIVIC ASSOCIATION,Center,8,MPN/100 ml
092214CP01,2014-09-22,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,20,MPN/100 ml
