Sample ID,Sample Date,Beach Name,Sample Location,Enterococci Results,Units or Notes
051815CP10,2015-05-18,CEDAR GROVE,Center,32,MPN/100 ml
090215SM06,2015-09-02,ROCKAWAY BEACH 95TH - 116TH,Center,4,MPN/100 ml
072006BH16,2006-07-20,SCHUYLER HILL CIVIC ASSOCIATION,Left,8,MPN/100 ml
052708GR05,2008-05-27,MANHATTAN BEACH,Center,8,MPN/100 ml
052708GR06,2008-05-27,MANHATTAN BEACH,Right,12,MPN/100 ml
062608BH01,2008-06-26,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,140,MPN/100 ml
081009GR19,2009-08-10,SEAGATE BEACH - 42ND STREET,Right,4,MPN/100 ml
051314CP07,2014-05-13,AMERICAN TURNERS,Left,600,MPN/100 ml
090407GR04,2007-09-04,MANHATTAN BEACH,Left,16,MPN/100 ml
051412KB09,2012-05-14,ORCHARD BEACH,Right,4,MPN/100 ml
082013CP05,2013-08-20,BEECHHURST PROPERTY OWNERS ASSOCIATION,Center,24,MPN/100 ml
062314AH03,2014-06-23,SI YMCA OF GREATER NEW YORK,Left,8,MPN/100 ml
083011SM06,2011-08-30,KINGSBOROUGH COMMUNITY COLLEGE,Right,32,MPN/100 ml
070212KB07,2012-07-02,ORCHARD BEACH,Left,20,MPN/100 ml
081908BH04,2008-08-19,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,16,MPN/100 ml
082112KB13,2012-08-21,SOUTH BEACH,Left,28,MPN/100 ml
080106JR04,2006-08-01,GERRITSEN/KIDDIE BEACH,Left,24,MPN/100 ml
051314KB11,2014-05-13,WEST FORDHAM STREET ASSOCIATION,Center,420,MPN/100 ml
061212SG08,2012-06-12,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Center,16,MPN/100 ml
060914GR08,2014-06-09,KINGSBOROUGH COMMUNITY COLLEGE,Center,28,MPN/100 ml
051314CP18,2014-05-13,SCHUYLER HILL CIVIC ASSOCIATION,Right,68,MPN/100 ml
042517HL07,2017-04-25,ORCHARD BEACH,Left,4,MPN/100 ml
051705TM30,2005-05-17,DOUGLASTON HOMEOWNERS ASSOCIATION,Right,9.9,MPN/100 ml
072214CP14,2014-07-22,MANHEM BEACH CLUB,Center,4,MPN/100 ml
082912GR06,2012-08-29,BREEZY POINT - REID AVE.,Right,8,MPN/100 ml
052709GR07,2009-05-27,KINGSBOROUGH COMMUNITY COLLEGE,Left,44,MPN/100 ml
070207AW15,2007-07-02,CONEY ISLAND WEST 28TH - WEST 37TH,Right,4,MPN/100 ml
060711KB12,2011-06-07,WEST FORDHAM STREET ASSOCIATION,Right,12,MPN/100 ml
082012GR12,2012-08-20,DANISH AMERICAN BEACH CLUB,Right,80,MPN/100 ml
070610GR16,2010-07-06,SEAGATE BEACH - 38TH STREET,Right,4,MPN/100 ml
051005TN10,2005-05-10,MANHEM BEACH CLUB,Left,9.9,MPN/100 ml
083011KB14,2011-08-30,SOUTH BEACH,Center,104,MPN/100 ml
071805SI01,2005-07-18,WOLFE'S POND PARK,Left,56,MPN/100 ml
061305BH09,2005-06-13,SOUTH BEACH,Right,16,MPN/100 ml
081914CP01,2014-08-19,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Left,12,MPN/100 ml
060914CP03,2014-06-09,SI YMCA OF GREATER NEW YORK,Left,2200,MPN/100 ml
061609KB01,2009-06-16,SI YMCA OF GREATER NEW YORK,Left,4,MPN/100 ml
072411GR01,2011-07-24,SEAGATE BEACH - 42ND STREET,Left,240,MPN/100 ml
042009GR08,2009-04-20,KINGSBOROUGH COMMUNITY COLLEGE,Center,52,MPN/100 ml
042108BH07,2008-04-21,MIDLAND BEACH,Left,4,MPN/100 ml
092214CP06,2014-09-22,MORRIS YACHT AND BEACH CLUB,Right,20,MPN/100 ml
080106ZK11,2006-08-01,WHITE CROSS FISHING CLUB,Center,48,MPN/100 ml
073112KB13,2012-07-31,MORRIS YACHT AND BEACH CLUB,Left,68,MPN/100 ml
090915KB11,2015-09-09,MORRIS YACHT AND BEACH CLUB,Center,28,MPN/100 ml
061112KB06,2012-06-11,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,4,MPN/100 ml
052907GR07,2007-05-29,CONEY ISLAND BR. 15TH - 6TH,Center,4,MPN/100 ml
082409GR03,2009-08-24,GERRITSEN/KIDDIE BEACH,Right,20,MPN/100 ml
042312GR15,2012-04-23,SEAGATE BEACH - 38TH STREET,Center,250,MPN/100 ml
061112GR10,2012-06-11,DANISH AMERICAN BEACH CLUB,Left,40,MPN/100 ml
082216JL12,2016-08-22,MIDLAND BEACH,Right,4,MPN/100 ml
062910KB04,2010-06-29,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,480,MPN/100 ml
070616MC03,2016-07-06,ROCKAWAY BEACH 23RD - 59TH,Center,4,MPN/100 ml
083010KB11,2010-08-30,SOUTH BEACH,Center,4,MPN/100 ml
080706JR05,2006-08-07,ORCHARD BEACH,Center,96,MPN/100 ml
070710GR17,2010-07-07,SCHUYLER HILL CIVIC ASSOCIATION,Center,8,MPN/100 ml
050906BH02,2006-05-09,ROCKAWAY BEACH 15TH - 22TH,Center,4,MPN/100 ml
051016JL10,2016-05-10,DANISH AMERICAN BEACH CLUB,Left,4,MPN/100 ml
071816MC07,2016-07-18,KINGSBOROUGH COMMUNITY COLLEGE,Left,40,MPN/100 ml
042108BH08,2008-04-21,MIDLAND BEACH,Center,4,MPN/100 ml
061713GR05,2013-06-17,WHITE CROSS FISHING CLUB,Center,4,MPN/100 ml
083010GR15,2010-08-30,SEAGATE BEACH - 38TH STREET,Center,28,MPN/100 ml
071607BH03,2007-07-16,DOUGLASTON HOMEOWNERS ASSOCIATION,Right,64,MPN/100 ml
060111KB12,2011-06-01,WEST FORDHAM STREET ASSOCIATION,Right,20,MPN/100 ml
051414CP03,2014-05-14,ROCKAWAY BEACH 23RD - 59TH,Center,4,MPN/100 ml
082117KB08,2017-08-21,CEDAR GROVE,Center,4,MPN/100 ml
062805BH09,2005-06-28,BREEZY POINT - REID AVE.,Center,4,MPN/100 ml
082713GR17,2013-08-27,SCHUYLER HILL CIVIC ASSOCIATION,Center,4,MPN/100 ml
082713CP07,2013-08-27,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,40,MPN/100 ml
081308IM02,2008-08-13,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Center,8,MPN/100 ml
081109IM17,2009-08-11,SCHUYLER HILL CIVIC ASSOCIATION,Center,4,MPN/100 ml
071514CP07,2014-07-15,WOLFE'S POND PARK,Center,16,MPN/100 ml
072616JL07,2016-07-26,CEDAR GROVE,Left,12,MPN/100 ml
060914GR07,2014-06-09,KINGSBOROUGH COMMUNITY COLLEGE,Left,32,MPN/100 ml
060215CP02,2015-06-02,WHITE CROSS FISHING CLUB,Center,940,MPN/100 ml
072913GR07,2013-07-29,KINGSBOROUGH COMMUNITY COLLEGE,Left,4,MPN/100 ml
062107BH02,2007-06-21,DOUGLASTON HOMEOWNERS ASSOCIATION,Center,24,MPN/100 ml
050217JA13,2017-05-02,MANHEM BEACH CLUB,Left,8,MPN/100 ml
050113GR03,2013-05-01,BREEZY POINT - REID AVE.,Right,4,MPN/100 ml
050205LA18,2005-05-02,SEAGATE BEACH - 38TH STREET,Right,9.9,MPN/100 ml
050509IM03,2009-05-05,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,420,MPN/100 ml
061510KB10,2010-06-15,WEST FORDHAM STREET ASSOCIATION,Left,4,MPN/100 ml
061107IM25,2007-06-11,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,24,MPN/100 ml
083011KB09,2011-08-30,CEDAR GROVE,Right,10,MPN/100 ml
083005EL04,2005-08-30,MANHATTAN BEACH,Left,16,MPN/100 ml
073007BH03,2007-07-30,SI YMCA OF GREATER NEW YORK,Right,8,MPN/100 ml
070213KB13,2013-07-02,MORRIS YACHT AND BEACH CLUB,Left,20,MPN/100 ml
082508BH01,2008-08-25,SI YMCA OF GREATER NEW YORK,Left,620,MPN/100 ml
052212GR07,2012-05-22,KINGSBOROUGH COMMUNITY COLLEGE,Left,48,MPN/100 ml
062810KB06,2010-06-28,WOLFE'S POND PARK,Right,4,MPN/100 ml
061813GR19,2013-06-18,SEAGATE BEACH - 42ND STREET,Right,44,MPN/100 ml
051412KB13,2012-05-14,MORRIS YACHT AND BEACH CLUB,Left,4,MPN/100 ml
090506BH05,2006-09-05,MANHATTAN BEACH,Center,24,MPN/100 ml
070616IM7,2016-07-06,AMERICAN TURNERS,Left,64,MPN/100 ml
043012GR07,2012-04-30,KINGSBOROUGH COMMUNITY COLLEGE,Left,4,MPN/100 ml
052305BH09,2005-05-23,SOUTH BEACH,Right,28,MPN/100 ml
060209IM10,2009-06-02,DANISH AMERICAN BEACH CLUB,Left,12,MPN/100 ml
061708BH07,2008-06-17,MORRIS YACHT AND BEACH CLUB,Left,44,MPN/100 ml
042307GR02,2007-04-23,GERRITSEN/KIDDIE BEACH,Center,12,MPN/100 ml
081809KB03,2009-08-18,DOUGLASTON HOMEOWNERS ASSOCIATION,Right,16,MPN/100 ml
060214GR06,2014-06-02,MANHATTAN BEACH,Right,4,MPN/100 ml
052709GR12,2009-05-27,CONEY ISLAND OCEAN PKWY - WEST 8TH,Center,4,MPN/100 ml
080409KB09,2009-08-04,MORRIS YACHT AND BEACH CLUB,Right,180,MPN/100 ml
042611GR08,2011-04-26,AMERICAN TURNERS,Center,760,MPN/100 ml
082205MR10,2005-08-22,GERRITSEN/KIDDIE BEACH,Left,16,MPN/100 ml
060110KB03,2010-06-01,SI YMCA OF GREATER NEW YORK,Right,2300,MPN/100 ml
042208BH01,2008-04-22,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,28,MPN/100 ml
082206BH21,2006-08-22,WHITE CROSS FISHING CLUB,Right,4,MPN/100 ml
072213CP18,2013-07-22,SEAGATE BEACH - 42ND STREET,Center,8,MPN/100 ml
082807GR14,2007-08-28,SEAGATE BEACH - 42ND STREET,Left,8,MPN/100 ml
081214KB14,2014-08-12,MORRIS YACHT AND BEACH CLUB,Center,20,MPN/100 ml
060616CP12,2016-06-06,MIDLAND BEACH,Left,8,MPN/100 ml
071910GR13,2010-07-19,CONEY ISLAND WEST 8TH - PIER,Center,16,MPN/100 ml
081709KB02,2009-08-17,SI YMCA OF GREATER NEW YORK,Center,24,MPN/100 ml
081605LH08,2005-08-16,WHITE CROSS FISHING CLUB,Center,48,MPN/100 ml
060313KB12,2013-06-03,MIDLAND BEACH,Right,12,MPN/100 ml
081616HL08,2016-08-16,ORCHARD BEACH,Center,20,MPN/100 ml
090412GR10,2012-09-04,DANISH AMERICAN BEACH CLUB,Left,8,MPN/100 ml
072709GR17,2009-07-27,SEAGATE BEACH - 42ND STREET,Left,68,MPN/100 ml
063009SG01,2009-06-30,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,56,MPN/100 ml
050206HL16,2006-05-02,WHITE CROSS FISHING CLUB,Left,4,MPN/100 ml
061907BH18,2007-06-19,WHITE CROSS FISHING CLUB,Right,20,MPN/100 ml
072208GR05,2008-07-22,WHITE CROSS FISHING CLUB,Center,4,MPN/100 ml
082813GR08,2013-08-28,MANHATTAN BEACH,Center,4,MPN/100 ml
062811KB08,2011-06-28,ORCHARD BEACH,Center,4,MPN/100 ml
090617MA14,2017-09-06,LOCUST POINT YACHT CLUB,Center,12,MPN/100 ml
051506IM17,2006-05-15,DANISH AMERICAN BEACH CLUB,Center,120,MPN/100 ml
050911GR02,2011-05-09,GERRITSEN/KIDDIE BEACH,Center,4,MPN/100 ml
051512GR08,2012-05-15,KINGSBOROUGH COMMUNITY COLLEGE,Center,48,MPN/100 ml
072808GR05,2008-07-28,MANHATTAN BEACH,Center,24,MPN/100 ml
071106ZK01,2006-07-11,SEAGATE BEACH - 42ND STREET,Left,8,MPN/100 ml
042913KB13,2013-04-29,SI YMCA OF GREATER NEW YORK,Left,4,MPN/100 ml
062413GR21,2013-06-24,LOCUST POINT YACHT CLUB,Right,36,MPN/100 ml
060313KB11,2013-06-03,MIDLAND BEACH,Center,8,MPN/100 ml
072413GR07,2013-07-24,CONEY ISLAND WEST 8TH - PIER,Right,20,MPN/100 ml
071714CP03,2014-07-17,SI YMCA OF GREATER NEW YORK,Left,4,MPN/100 ml
042114GR11,2014-04-21,CONEY ISLAND BR. 6TH - OCEAN PKWY,Center,4,MPN/100 ml
062512KB11,2012-06-25,WEST FORDHAM STREET ASSOCIATION,Center,64,MPN/100 ml
063015CP20,2015-06-30,LOCUST POINT YACHT CLUB,Center,8,MPN/100 ml
060517JA10,2017-06-05,CEDAR GROVE,Center,1900,MPN/100 ml
053111KB01,2011-05-31,SI YMCA OF GREATER NEW YORK,Left,180,MPN/100 ml
052405TM23,2005-05-24,SCHUYLER HILL CIVIC ASSOCIATION,Center,4,MPN/100 ml
081511KB09,2011-08-15,CEDAR GROVE,Right,360,MPN/100 ml
060313GR08,2013-06-03,KINGSBOROUGH COMMUNITY COLLEGE,Center,68,MPN/100 ml
080210GR08,2010-08-02,KINGSBOROUGH COMMUNITY COLLEGE,Center,12,MPN/100 ml
042109KB08,2009-04-21,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Center,380,MPN/100 ml
062308BH09,2008-06-23,MIDLAND BEACH,Right,4,MPN/100 ml
063009GR12,2009-06-30,CONEY ISLAND OCEAN PKWY - WEST 8TH,Center,8,MPN/100 ml
062210KB05,2010-06-22,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Center,48,MPN/100 ml
082205MR05,2005-08-22,MANHATTAN BEACH,Center,52,MPN/100 ml
071712GR14,2012-07-17,MANHEM BEACH CLUB,Center,560,MPN/100 ml
090606BH11,2006-09-06,DANISH AMERICAN BEACH CLUB,Center,24,MPN/100 ml
042710GR08,2010-04-27,AMERICAN TURNERS,Center,260,MPN/100 ml
080612GR14,2012-08-06,SEAGATE BEACH - 38TH STREET,Left,16,MPN/100 ml
082409GR13,2009-08-24,CONEY ISLAND WEST 8TH - PIER,Center,4,MPN/100 ml
083106BH15,2006-08-31,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,110,MPN/100 ml
052814KB14,2014-05-28,MORRIS YACHT AND BEACH CLUB,Center,4,MPN/100 ml
071414KB06,2014-07-14,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,68,MPN/100 ml
052113KB14,2013-05-21,MORRIS YACHT AND BEACH CLUB,Center,4,MPN/100 ml
050817JA09,2017-05-08,CEDAR GROVE,Left,16,MPN/100 ml
050906IM14,2006-05-09,AMERICAN TURNERS,Center,4,MPN/100 ml
080607GR01,2007-08-06,MANHATTAN BEACH,Left,20,MPN/100 ml
050205BH12,2005-05-02,CONEY ISLAND WEST 8TH - PIER,Center,9.9,MPN/100 ml
082305LH06,2005-08-23,AMERICAN TURNERS,Right,8,MPN/100 ml
082817JA05,2017-08-28,SI YMCA OF GREATER NEW YORK,Right,4,MPN/100 ml
081815SM03,2015-08-18,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,4,MPN/100 ml
083011SG03,2011-08-30,DOUGLASTON HOMEOWNERS ASSOCIATION,Right,32,MPN/100 ml
083115KB03,2015-08-31,SI YMCA OF GREATER NEW YORK,Right,12,MPN/100 ml
081412KB01,2012-08-14,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,8,MPN/100 ml
051512GR02,2012-05-15,GERRITSEN/KIDDIE BEACH,Center,4,MPN/100 ml
062309KB06,2009-06-23,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,40,MPN/100 ml
082913KB04,2013-08-29,BEECHHURST PROPERTY OWNERS ASSOCIATION,Left,76,MPN/100 ml
050515CP09,2015-05-05,AMERICAN TURNERS,Right,8,MPN/100 ml
051209KB02,2009-05-12,DOUGLASTON HOMEOWNERS ASSOCIATION,Center,460,MPN/100 ml
073013GR02,2013-07-30,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Center,12,MPN/100 ml
070113KB09,2013-07-01,CEDAR GROVE,Right,32,MPN/100 ml
082906BH10,2006-08-29,AMERICAN TURNERS,Left,220,MPN/100 ml
060810KB10,2010-06-08,WEST FORDHAM STREET ASSOCIATION,Left,8,MPN/100 ml
081108BH11,2008-08-11,SOUTH BEACH,Center,12,MPN/100 ml
071310KB13,2010-07-13,MORRIS YACHT AND BEACH CLUB,Left,4,MPN/100 ml
061208KB01,2008-06-12,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,220,MPN/100 ml
042312GR02,2012-04-23,GERRITSEN/KIDDIE BEACH,Center,3300,MPN/100 ml
081517JA16,2017-08-15,SCHUYLER HILL CIVIC ASSOCIATION,Left,440,MPN/100 ml
081915SM10,2015-08-19,BREEZY POINT - 219TH STREET,Center,4,MPN/100 ml
071612GR01,2012-07-16,GERRITSEN/KIDDIE BEACH,Left,92,MPN/100 ml
070511KB08,2011-07-05,CEDAR GROVE,Center,8,MPN/100 ml
042115GR18,2015-04-21,SCHUYLER HILL CIVIC ASSOCIATION,Right,8,MPN/100 ml
071811GR19,2011-07-18,AMERICAN TURNERS,Center,8,MPN/100 ml
071408GR07,2008-07-14,KINGSBOROUGH COMMUNITY COLLEGE,Left,8,MPN/100 ml
081010GR01,2010-08-10,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Left,28,MPN/100 ml
060412KB13,2012-06-04,SOUTH BEACH,Left,24,MPN/100 ml
081213GR11,2013-08-12,CONEY ISLAND BR. 6TH - OCEAN PKWY,Center,16,MPN/100 ml
050514GR02,2014-05-05,GERRITSEN/KIDDIE BEACH,Center,4,MPN/100 ml
072108BH05,2008-07-21,WOLFE'S POND PARK,Center,32,MPN/100 ml
060313KB10,2013-06-03,MIDLAND BEACH,Left,4,MPN/100 ml
061509KB07,2009-06-15,MORRIS YACHT AND BEACH CLUB,Left,28,MPN/100 ml
073013KB09,2013-07-30,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,8,MPN/100 ml
051209IM09,2009-05-12,AMERICAN TURNERS,Right,4,MPN/100 ml
051313KB17,2013-05-13,CONEY ISLAND WEST 28TH - WEST 37TH,Center,12,MPN/100 ml
081010GR08,2010-08-10,AMERICAN TURNERS,Center,52,MPN/100 ml
062705MR08,2005-06-27,MANHATTAN BEACH,Center,16,MPN/100 ml
070708GR07,2008-07-07,KINGSBOROUGH COMMUNITY COLLEGE,Left,4,MPN/100 ml
071817HL04,2017-07-18,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,3300,MPN/100 ml
072709KB11,2009-07-27,SOUTH BEACH,Center,72,MPN/100 ml
090413KB03,2013-09-04,DOUGLASTON HOMEOWNERS ASSOCIATION,Right,640,MPN/100 ml
071811GR17,2011-07-18,WHITE CROSS FISHING CLUB,Right,4,MPN/100 ml
070813GR20,2013-07-08,LOCUST POINT YACHT CLUB,Center,8,MPN/100 ml
081105MR05,2005-08-11,KINGSBOROUGH COMMUNITY COLLEGE,Center,72,MPN/100 ml
052813GR20,2013-05-28,LOCUST POINT YACHT CLUB,Center,4,MPN/100 ml
081109IM11,2009-08-11,DANISH AMERICAN BEACH CLUB,Center,4,MPN/100 ml
051711AW08,2011-05-17,ORCHARD BEACH,Center,32,MPN/100 ml
072506NG01,2006-07-25,SOUTH BEACH,Left,16,MPN/100 ml
082812GR01,2012-08-28,MANHATTAN BEACH,Left,8,MPN/100 ml
070207BH18,2007-07-02,DANISH AMERICAN BEACH CLUB,Right,4,MPN/100 ml
051408IM06,2008-05-14,WHITE CROSS FISHING CLUB,Right,12,MPN/100 ml
061206IM15,2006-06-12,AMERICAN TURNERS,Right,4,MPN/100 ml
080211KB01,2011-08-02,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,3700,MPN/100 ml
081313GR15,2013-08-13,MANHEM BEACH CLUB,Right,28,MPN/100 ml
071216IM04,2016-07-12,WHITE CROSS FISHING CLUB,Left,4,MPN/100 ml
052715GR07,2015-05-27,AMERICAN TURNERS,Left,4,MPN/100 ml
081412KB04,2012-08-14,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,16,MPN/100 ml
060513GR08,2013-06-05,AMERICAN TURNERS,Center,60,MPN/100 ml
081307BH04,2007-08-13,MORRIS YACHT AND BEACH CLUB,Left,4,MPN/100 ml
051915GR06,2015-05-19,WHITE CROSS FISHING CLUB,Right,88,MPN/100 ml
061812SG05,2012-06-18,WHITE CROSS FISHING CLUB,Center,4,MPN/100 ml
071612GR05,2012-07-16,MANHATTAN BEACH,Center,4,MPN/100 ml
043012GR06,2012-04-30,MANHATTAN BEACH,Right,8,MPN/100 ml
042814KB06,2014-04-28,WOLFE'S POND PARK,Right,12,MPN/100 ml
071210GR10,2010-07-12,CONEY ISLAND BR. 15TH - 6TH,Center,200,MPN/100 ml
081406BH05,2006-08-14,SCHUYLER HILL CIVIC ASSOCIATION,Center,16,MPN/100 ml
071513GR13,2013-07-15,CONEY ISLAND WEST 8TH - PIER,Center,4,MPN/100 ml
061213GR03,2013-06-12,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,4,MPN/100 ml
070609GR16,2009-07-06,SEAGATE BEACH - 38TH STREET,Right,4,MPN/100 ml
050812GR08,2012-05-08,AMERICAN TURNERS,Center,48,MPN/100 ml
062612KB01,2012-06-26,SI YMCA OF GREATER NEW YORK,Left,64,MPN/100 ml
042312GR01,2012-04-23,GERRITSEN/KIDDIE BEACH,Left,3500,MPN/100 ml
072809GR02,2009-07-28,BREEZY POINT - REID AVE.,Center,12,MPN/100 ml
081910KB07,2010-08-19,MANHATTAN BEACH,Left,4,MPN/100 ml
060915CP13,2015-06-09,WEST FORDHAM STREET ASSOCIATION,Left,120,MPN/100 ml
070517JL02,2017-07-05,CONEY ISLAND WEST 28TH - WEST 37TH,Center,8,MPN/100 ml
062512GR12,2012-06-25,WHITE CROSS FISHING CLUB,Right,84,MPN/100 ml
082713GR09,2013-08-27,AMERICAN TURNERS,Right,220,MPN/100 ml
062706ZK13,2006-06-27,AMERICAN TURNERS,Left,8,MPN/100 ml
042611SG12,2011-04-26,WEST FORDHAM STREET ASSOCIATION,Right,8,MPN/100 ml
062915CP05,2015-06-29,SI YMCA OF GREATER NEW YORK,Right,4,MPN/100 ml
042709KB13,2009-04-27,CONEY ISLAND WEST 16TH - WEST 27TH,Center,16,MPN/100 ml
052709KB08,2009-05-27,MIDLAND BEACH,Center,16,MPN/100 ml
080911KB01,2011-08-09,SI YMCA OF GREATER NEW YORK,Left,4,MPN/100 ml
052217MA01,2017-05-22,GERRITSEN/KIDDIE BEACH,Left,900,MPN/100 ml
080205MR10,2005-08-02,MORRIS YACHT AND BEACH CLUB,Left,280,MPN/100 ml
082610KB14,2010-08-26,SCHUYLER HILL CIVIC ASSOCIATION,Center,8,MPN/100 ml
042114CP16,2014-04-21,SOUTH BEACH,Center,64,MPN/100 ml
073112KB12,2012-07-31,WEST FORDHAM STREET ASSOCIATION,Right,4900,MPN/100 ml
080905SI07,2005-08-09,ROCKAWAY BEACH 116TH - 126TH,Center,4,MPN/100 ml
071111KB34,2011-07-11,SOUTH BEACH,Right,8,MPN/100 ml
082013GR12,2013-08-20,DANISH AMERICAN BEACH CLUB,Right,52,MPN/100 ml
062413GR04,2013-06-24,WHITE CROSS FISHING CLUB,Left,4,MPN/100 ml
070213CP06,2013-07-02,ROCKAWAY BEACH 95TH - 116TH,Center,4,MPN/100 ml
083115KB05,2015-08-31,WOLFE'S POND PARK,Center,4,MPN/100 ml
081711KB05,2011-08-17,MIDLAND BEACH,Center,80,MPN/100 ml
052907BH01,2007-05-29,SI YMCA OF GREATER NEW YORK,Left,24,MPN/100 ml
042610GR10,2010-04-26,CONEY ISLAND BR. 15TH - 6TH,Center,12,MPN/100 ml
071017MC15,2017-07-10,SEAGATE BEACH - 42ND STREET,Center,4,MPN/100 ml
050108GR04,2008-05-01,WHITE CROSS FISHING CLUB,Left,80,MPN/100 ml
042610GR02,2010-04-26,GERRITSEN/KIDDIE BEACH,Center,2200,MPN/100 ml
052411KB15,2011-05-24,MORRIS YACHT AND BEACH CLUB,Right,8,MPN/100 ml
072506NG03,2006-07-25,SOUTH BEACH,Right,32,MPN/100 ml
081506EL04,2006-08-15,SEAGATE BEACH - 42ND STREET,Left,28,MPN/100 ml
050211SG02,2011-05-02,CONEY ISLAND WEST 28TH - WEST 37TH,Center,4,MPN/100 ml
082013GR03,2013-08-20,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,56,MPN/100 ml
080211GR10,2011-08-02,DANISH AMERICAN BEACH CLUB,Left,12,MPN/100 ml
072011KB14,2011-07-20,SOUTH BEACH,Center,12,MPN/100 ml
090810KB13,2010-09-08,MORRIS YACHT AND BEACH CLUB,Left,96,MPN/100 ml
071707BH12,2007-07-17,SOUTH BEACH,Right,44,MPN/100 ml
042108GR11,2008-04-21,CONEY ISLAND BR. 6TH - OCEAN PKWY,Center,120,MPN/100 ml
050112GR21,2012-05-01,LOCUST POINT YACHT CLUB,Right,60,MPN/100 ml
052008BH03,2008-05-20,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,40,MPN/100 ml
063015CP25,2015-06-30,WEST FORDHAM STREET ASSOCIATION,Left,72,MPN/100 ml
061207GR15,2007-06-12,SEAGATE BEACH - 42ND STREET,Center,4,MPN/100 ml
050216AO15,2016-05-03,WEST FORDHAM STREET ASSOCIATION,Right,4,MPN/100 ml
072411AA07,2011-07-24,CEDAR GROVE,Left,4,MPN/100 ml
052312GR05,2012-05-23,BREEZY POINT - 219TH STREET,Center,4,MPN/100 ml
081913CP12,2013-08-19,MIDLAND BEACH,Left,20,MPN/100 ml
071905LH02,2005-07-19,MANHEM BEACH CLUB,Center,8,MPN/100 ml
061709GR14,2009-06-17,DANISH AMERICAN BEACH CLUB,Right,16,MPN/100 ml
072710GR12,2010-07-27,DANISH AMERICAN BEACH CLUB,Right,16,MPN/100 ml
071007BH20,2007-07-10,WHITE CROSS FISHING CLUB,Center,60,MPN/100 ml
051811SG06,2011-05-18,SCHUYLER HILL CIVIC ASSOCIATION,Right,580,MPN/100 ml
082107BH10,2007-08-21,SOUTH BEACH,Left,32,MPN/100 ml
090710GR04,2010-09-07,MANHATTAN BEACH,Left,36,MPN/100 ml
061614CP11,2014-06-16,CEDAR GROVE,Right,36,MPN/100 ml
080309KB10,2009-08-03,SOUTH BEACH,Left,24,MPN/100 ml
050205BH04,2005-05-02,MIDLAND BEACH,Left,10,MPN/100 ml
051914GR05,2014-05-19,MANHATTAN BEACH,Center,4,MPN/100 ml
080706ZK06,2006-08-07,AMERICAN TURNERS,Right,4,MPN/100 ml
061212KB11,2012-06-12,MIDLAND BEACH,Center,8,MPN/100 ml
082712KB13,2012-08-27,AMERICAN TURNERS,Right,4,MPN/100 ml
052709KB03,2009-05-27,SI YMCA OF GREATER NEW YORK,Right,640,MPN/100 ml
070611KB02,2011-07-06,DOUGLASTON HOMEOWNERS ASSOCIATION,Center,64,MPN/100 ml
060611KB07,2011-06-06,CEDAR GROVE,Left,4,MPN/100 ml
082812KB10,2012-08-28,MIDLAND BEACH,Left,12,MPN/100 ml
081214CP09,2014-08-12,AMERICAN TURNERS,Right,16,MPN/100 ml
081511KB12,2011-08-15,MIDLAND BEACH,Right,900,MPN/100 ml
051110KB05,2010-05-11,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Center,68,MPN/100 ml
070907BH04,2007-07-09,WOLFE'S POND PARK,Left,4,MPN/100 ml
061907BH06,2007-06-19,SCHUYLER HILL CIVIC ASSOCIATION,Right,80,MPN/100 ml
061112GR09,2012-06-11,AMERICAN TURNERS,Right,140,MPN/100 ml
052113KB03,2013-05-21,DOUGLASTON HOMEOWNERS ASSOCIATION,Right,16,MPN/100 ml
